n,d,k,t,i,m,flag,objVal,gap,elapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal*elapsedTime,nSolution/n,sumPenalty/objVal,sumEdgeCost/objVal
200,0.5,10,0,1,9950,0,1e+100,1e+100,60147552951,0,1512,0,6.01476e+110,0,0,1.512e-97,0
200,0.5,10,0,2,9950,1,2037,0.367207,60135011953,142,363,1674,1.22495e+14,0.71,0.71,0.178203,0.821797
200,0.5,10,1,0,9950,1,3101,0.553692,60140544186,180,149,2952,1.86496e+14,0.9,0.9,0.048049,0.951951
200,0.5,10,1,1,9950,0,1e+100,1e+100,60235042362,0,2772,0,6.0235e+110,0,0,2.772e-97,0
200,0.5,10,1,2,9950,1,3193,0.560601,60194809647,180,143,3050,1.92202e+14,0.9,0.9,0.0447855,0.955215
200,0.5,20,0,0,9950,1,2197,0.445608,60164762383,122,531,1666,1.32182e+14,0.61,0.61,0.241693,0.758307
200,0.5,20,0,1,9950,1,2328,0.477234,60177212176,17,1433,895,1.40093e+14,0.085,0.085,0.61555,0.38445
200,0.5,20,0,2,9950,1,2134,0.465792,60156933379,122,503,1631,1.28375e+14,0.61,0.61,0.235708,0.764292
200,0.5,20,1,0,9950,1,2297,0.398346,60149378446,169,264,2033,1.38163e+14,0.845,0.845,0.114933,0.885067
200,0.5,20,1,1,9950,1,1924,0.263514,60143608029,172,213,1711,1.15716e+14,0.86,0.86,0.110707,0.889293
200,0.5,20,1,2,9950,1,2005,0.24788,60150691730,165,325,1680,1.20602e+14,0.825,0.825,0.162095,0.837905
200,0.7,0,0,0,13930,0,1e+100,1e+100,60476133871,0,1532,0,6.04761e+110,0,0,1.532e-97,0
200,0.7,0,0,1,13930,0,1e+100,1e+100,60516435305,0,1504,0,6.05164e+110,0,0,1.504e-97,0
200,0.7,0,0,2,13930,0,1e+100,1e+100,60362143534,0,1619,0,6.03621e+110,0,0,1.619e-97,0
200,0.7,0,1,0,13930,0,1e+100,1e+100,60171982220,0,2930,0,6.0172e+110,0,0,2.93e-97,0
200,0.7,0,1,1,13930,0,1e+100,1e+100,60233208453,0,3086,0,6.02332e+110,0,0,3.086e-97,0
200,0.7,0,1,2,13930,0,1e+100,1e+100,60253822241,0,3168,0,6.02538e+110,0,0,3.168e-97,0
200,0.7,10,0,0,13930,1,10665,0.900609,60190785589,198,0,10665,6.41935e+14,0.99,0.99,0,1
200,0.7,10,0,1,13930,0,1e+100,1e+100,60255884157,0,1559,0,6.02559e+110,0,0,1.559e-97,0
200,0.7,10,0,2,13930,0,1e+100,1e+100,60191234428,0,1469,0,6.01912e+110,0,0,1.469e-97,0
200,0.7,10,1,0,13930,0,1e+100,1e+100,60221045056,0,2904,0,6.0221e+110,0,0,2.904e-97,0
200,0.7,10,1,1,13930,0,1e+100,1e+100,60290445684,0,2998,0,6.02904e+110,0,0,2.998e-97,0
200,0.7,10,1,2,13930,0,1e+100,1e+100,60375099023,0,2984,0,6.03751e+110,0,0,2.984e-97,0
200,0.7,20,0,0,13930,1,1709,0.391457,60268288266,137,365,1344,1.02999e+14,0.685,0.685,0.213575,0.786425
200,0.7,20,0,1,13930,0,1e+100,1e+100,60179468391,0,1515,0,6.01795e+110,0,0,1.515e-97,0
200,0.7,20,0,2,13930,1,2831,0.622748,60199268368,21,1383,1448,1.70424e+14,0.105,0.105,0.48852,0.51148
200,0.7,20,1,0,13930,0,1e+100,1e+100,60189149041,0,2899,0,6.01891e+110,0,0,2.899e-97,0
200,0.7,20,1,1,13930,1,2064,0.399709,60211167113,177,201,1863,1.24276e+14,0.885,0.885,0.0973837,0.902616
200,0.7,20,1,2,13930,1,3896,0.695329,60236089951,22,2699,1197,2.3468e+14,0.11,0.11,0.692762,0.307238
