n,d,k,t,i,m,flag,objVal1,gap1,elapsedTime1,objVal2,gap2,elapsedTime2,totalElapsedTime,nSolution,sumPenalty,sumEdgeCost,objVal2*totalElapsedTime,nSolution/n,sumPenalty/objVal2,sumEdgeCost/objVal2
100,0.3,20,0,0,0,1,-15.4613,0,26519161,1132,0,9797432,36316593,12,591,541,4.11104e+10,0.12,0.522085,0.477915
100,0.3,20,0,1,0,1,-13.0885,0,31479329,1112,0,4769654,36248983,11,665,447,4.03089e+10,0.11,0.598022,0.401978
100,0.3,20,0,2,0,1,-13.2876,0,25345434,1126,0,9096191,34441625,11,666,460,3.87813e+10,0.11,0.591474,0.408526
100,0.3,20,1,0,0,1,-9.56044,0,26622213,1646,0,4074048,30696261,10,1273,373,5.0526e+10,0.1,0.77339,0.22661
100,0.3,20,1,1,0,1,-7.68947,0,26047229,1682,0,7468398,33515627,10,1323,359,5.63733e+10,0.1,0.786564,0.213436
100,0.3,20,1,2,0,1,-8.12652,0,32037159,1806,0,5252699,37289858,11,1329,477,6.73455e+10,0.11,0.73588,0.26412
100,0.5,0,0,0,0,1,3.55271e-15,0,40617262,1360,0.196324,60128047333,60168664595,100,0,1360,8.18294e+13,1,0,1
100,0.5,0,0,1,0,0,3.55271e-15,0,33490268,1e+100,1e+100,60152970928,60186461196,0,760,0,6.01865e+110,0,7.6e-98,0
100,0.5,0,0,2,0,0,7.10543e-15,0,39778603,1e+100,1e+100,60118886368,60158664971,0,775,0,6.01587e+110,0,7.75e-98,0
100,0.5,0,1,0,0,1,7.10543e-15,0,37167657,1408,0.268466,60072577701,60109745358,100,0,1408,8.46345e+13,1,0,1
100,0.5,0,1,1,0,0,-0.142857,0,35489808,1e+100,1e+100,60083932495,60119422303,0,1500,0,6.01194e+110,0,1.5e-97,0
100,0.5,0,1,2,0,0,8.88178e-15,0,37138354,1e+100,1e+100,60072826987,60109965341,0,1467,0,6.011e+110,0,1.467e-97,0
100,0.5,10,0,0,0,1,-11.9495,0,26139338,1126,0,102271381,128410719,31,453,673,1.4459e+11,0.31,0.402309,0.597691
100,0.5,10,0,1,0,1,-9.72266,0,26122223,1181,0,115434323,141556546,35,470,711,1.67178e+11,0.35,0.397968,0.602032
100,0.5,10,0,2,0,1,-10.6503,0,21307213,1152,0,152920698,174227911,34,488,664,2.00711e+11,0.34,0.423611,0.576389
100,0.5,10,1,0,0,1,-4.74992,0,23488893,1704,0,131486277,154975170,35,968,736,2.64078e+11,0.35,0.568075,0.431925
100,0.5,10,1,1,0,1,-5.38764,0,22153798,1622,0,467836869,489990667,33,977,645,7.94765e+11,0.33,0.602343,0.397657
100,0.5,10,1,2,0,1,-6.87042,0,25278048,1619,0,153499344,178777392,29,962,657,2.89441e+11,0.29,0.594194,0.405806
100,0.5,20,0,0,0,1,-14.0128,0,36350421,1030,0,4067689,40418110,11,629,401,4.16307e+10,0.11,0.61068,0.38932
100,0.5,20,0,1,0,1,-12.9484,0,24283590,1077,0,6528372,30811962,12,683,394,3.31845e+10,0.12,0.634169,0.365831
100,0.5,20,0,2,0,1,-12.8291,0,25692294,1064,0,6747866,32440160,12,651,413,3.45163e+10,0.12,0.611842,0.388158
100,0.5,20,1,0,0,1,-8.16302,0,28743676,1652,0,5182561,33926237,10,1289,363,5.60461e+10,0.1,0.780266,0.219734
100,0.5,20,1,1,0,1,-8.51167,0,25249225,1665,0,8167924,33417149,11,1275,390,5.56396e+10,0.11,0.765766,0.234234
100,0.5,20,1,2,0,1,-7.92619,0,22321270,1651,0,6073450,28394720,10,1315,336,4.68797e+10,0.1,0.796487,0.203513
100,0.7,0,0,0,0,0,-0.290909,0,33729041,1e+100,1e+100,60089248293,60122977334,0,810,0,6.0123e+110,0,8.1e-98,0
100,0.7,0,0,1,0,0,3.55271e-15,0,34873004,1e+100,1e+100,60158968588,60193841592,0,786,0,6.01938e+110,0,7.86e-98,0
100,0.7,0,0,2,0,0,-0.125,0,34455046,1e+100,1e+100,60072360191,60106815237,0,776,0,6.01068e+110,0,7.76e-98,0
100,0.7,0,1,0,0,0,7.10543e-15,0,38077079,1e+100,1e+100,60086279198,60124356277,0,1440,0,6.01244e+110,0,1.44e-97,0
100,0.7,0,1,1,0,1,-0.0666667,0,34311767,1001,0,16699367203,16733678970,99,14,987,1.67504e+13,0.99,0.013986,0.986014
100,0.7,0,1,2,0,0,-0.12037,0,34238096,1e+100,1e+100,60073783554,60108021650,0,1578,0,6.0108e+110,0,1.578e-97,0
100,0.7,10,0,0,0,1,-10.6617,0,23176166,1119,0,2788203673,2811379839,31,500,619,3.14593e+12,0.31,0.446828,0.553172
100,0.7,10,0,1,0,1,-10.3402,0,27087584,1107,0,61017195,88104779,34,452,655,9.7532e+10,0.34,0.408311,0.591689
100,0.7,10,0,2,0,1,-10.3601,0,23818186,1099,0,67551520,91369706,30,528,571,1.00415e+11,0.3,0.480437,0.519563
100,0.7,10,1,0,0,1,-6.35139,0,22773879,1587,0,44654628,67428507,29,1047,540,1.07009e+11,0.29,0.659735,0.340265
